book_id,publishing_year,title,author,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,publisher,units_sold,sales_rank,company_revenue,sales_month
1,1975,Beowulf,"Unknown, Seamus Heaney",3.42,155903,genre fiction,34160.0,20496.0,4.88,HarperCollins Publishers,7000,111,13664.0,1
2,1987,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",4.23,145267,genre fiction,12437.5,7462.5,1.99,HarperCollins Publishers,6250,113,4975.0,1
3,2015,Go Set a Watchman,Harper Lee,3.31,138669,genre fiction,47795.0,28677.0,8.69,"Amazon Digital Services,  Inc.",5500,139,19118.0,1
4,2008,When You Are Engulfed in Flames,David Sedaris,4.04,150898,fiction,41250.0,24750.0,7.5,Hachette Book Group,5500,139,16500.0,1
5,2011,Daughter of Smoke & Bone,Laini Taylor,4.04,198283,genre fiction,37952.5,22771.5,7.99,Penguin Group (USA) LLC,4750,167,15181.0,1
6,2015,Red Queen,Victoria Aveyard,4.08,83354,genre fiction,19960.0,0.0,4.99,"Amazon Digital Services,  Inc.",4000,201,19960.0,1
7,2011,The Power of Habit,Charles Duhigg,4.03,155977,genre fiction,27491.67,16495.002,6.99,HarperCollins Publishers,3933,205,10996.67,1
8,1994,Midnight in the Garden of Good and Evil,John Berendt,3.9,167997,nonfiction,26182.0,15709.2,6.89,Hachette Book Group,3800,210,10472.8,1
9,2012,Hopeless,Colleen Hoover,4.34,189938,genre fiction,26093.67,15656.202,6.99,HarperCollins Publishers,3733,211,10437.47,1
10,1905,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",4.2,199872,genre fiction,23792.34,14275.404,6.49,Random House LLC,3666,212,9516.94,1
11,2004,The Truth About Forever,Sarah Dessen,4.13,179415,genre fiction,17964.0,0.0,4.99,"Amazon Digital Services,  Inc.",3600,213,17964.0,1
12,1954,The horse and his boy,C.S. Lewis,3.9,189671,fiction,21564.0,12938.4,5.99,Penguin Group (USA) LLC,3600,213,8625.6,1
13,2010,Last Sacrifice ,Richelle Mead,4.42,206792,genre fiction,3431.34,0.0,0.99,"Amazon Digital Services,  Inc.",3466,214,3431.34,1
14,1935,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",4.18,195424,genre fiction,6897.34,4138.404,1.99,HarperCollins Publishers,3466,214,2758.94,1
15,1922,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",4.29,173469,genre fiction,21797.82,13078.692,6.54,Random House LLC,3333,215,8719.13,1
16,1974,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,3.76,139411,genre fiction,16297.34,0.0,4.99,"Amazon Digital Services,  Inc.",3266,216,16297.34,1
17,1897,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",3.8,159752,genre fiction,15968.0,0.0,4.99,"Amazon Digital Services,  Inc.",3200,217,15968.0,1
18,2006,Pretty Little Liars,Sara Shepard,3.9,156328,genre fiction,15968.0,0.0,4.99,"Amazon Digital Services,  Inc.",3200,217,15968.0,1
19,1948,Corduroy,Don Freeman,4.28,160860,genre fiction,6234.67,3740.802,1.99,Simon and Schuster Digital Sales Inc,3133,218,2493.87,1
20,2006,The Omnivore's Dilemma,Michael Pollan,4.17,133271,genre fiction,3035.34,0.0,0.99,"Amazon Digital Services,  Inc.",3066,219,3035.34,1
21,2013,Life After Life,Kate Atkinson,3.74,138454,genre fiction,11702.67,0.0,3.99,"Amazon Digital Services,  Inc.",2933,221,11702.67,1
22,2000,The Rescue,Nicholas Sparks,4.1,142092,genre fiction,8569.34,0.0,2.99,"Amazon Digital Services,  Inc.",2866,224,8569.34,1
23,1991,Needful Things,Stephen King,3.87,153821,genre fiction,2772.0,0.0,0.99,"Amazon Digital Services,  Inc.",2800,226,2772.0,1
24,1993,Voyager,Diana Gabaldon,4.38,157395,genre fiction,8171.67,0.0,2.99,"Amazon Digital Services,  Inc.",2733,227,8171.67,1
25,1981,Cujo,Stephen King,3.65,158215,genre fiction,7774.0,0.0,2.99,"Amazon Digital Services,  Inc.",2600,228,7774.0,1
26,1993,The Virgin Suicides,Jeffrey Eugenides,3.83,159249,genre fiction,26904.06,16142.436,10.91,Penguin Group (USA) LLC,2466,229,10761.62,1
27,2004,Dead to the World,Charlaine Harris,4.13,199572,genre fiction,2376.0,0.0,0.99,"Amazon Digital Services,  Inc.",2400,230,2376.0,1
28,1891,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",3.77,171599,nonfiction,9576.0,5745.6,3.99,Hachette Book Group,2400,230,3830.4,1
29,1856,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",3.64,158877,genre fiction,9308.67,0.0,3.99,"Amazon Digital Services,  Inc.",2333,231,9308.67,1
30,1961,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",4.22,178432,genre fiction,4509.34,0.0,1.99,"Amazon Digital Services,  Inc.",2266,232,4509.34,1
31,2010,The Way of Kings,Brandon Sanderson,4.64,144822,genre fiction,2178.0,0.0,0.99,"Amazon Digital Services,  Inc.",2200,233,2178.0,1
32,2003,Club Dead,Charlaine Harris,4.03,181323,genre fiction,13178.0,7906.8,5.99,HarperCollins Publishers,2200,233,5271.2,1
33,2006,It's Kind of a Funny Story,Ned Vizzini,4.14,161001,nonfiction,2045.34,1227.204,0.99,HarperCollins Publishers,2066,234,818.14,1
34,2015,After You,Jojo Moyes,3.7,99342,genre fiction,1964.16,0.0,0.99,"Amazon Digital Services,  Inc.",1984,235,1964.16,1
35,2011,The Language of Flowers,Vanessa Diffenbaugh,4.07,140076,genre fiction,1964.16,1178.496,0.99,"Amazon Digital Services,  Inc.",1984,235,785.66,1
36,1986,Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",4.25,135979,genre fiction,1949.31,0.0,0.99,"Amazon Digital Services,  Inc.",1969,236,1949.31,1
37,2005,The Angel Experiment,James Patterson,4.08,172302,genre fiction,1949.31,0.0,0.99,"Amazon Digital Services,  Inc.",1969,236,1949.31,1
38,1995,High Fidelity,Nick Hornby,3.94,134849,genre fiction,20309.55,12185.73,10.65,Random House LLC,1907,237,8123.82,1
39,2003,The Guardian,Nicholas Sparks,4.14,136427,genre fiction,1873.08,0.0,0.99,"Amazon Digital Services,  Inc.",1892,238,1873.08,1
40,2003,Oryx and Crake,Margaret Atwood,4.0,151500,genre fiction,7485.24,0.0,3.99,"Amazon Digital Services,  Inc.",1876,239,7485.24,1
41,1998,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,3.52,113915,genre fiction,3703.39,2222.034,1.99,"Amazon Digital Services,  Inc.",1861,240,1481.36,1
42,2000,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,4.0,134177,genre fiction,11057.54,6634.524,5.99,HarperCollins Publishers,1846,241,4423.02,1
43,1999,Timeline,Michael Crichton,3.83,148563,genre fiction,12791.7,7675.02,6.99,"Amazon Digital Services,  Inc.",1830,242,5116.68,1
44,1759,Candide,Voltaire,3.76,151471,genre fiction,8982.0,0.0,4.99,"Amazon Digital Services,  Inc.",1800,243,8982.0,1
45,1975,Tuck Everlasting,Natalie Babbitt,3.85,174280,nonfiction,3582.0,2149.2,1.99,"Amazon Digital Services,  Inc.",1800,243,1432.8,1
46,1983,Christine,"Stephen King, Marie Milpois",3.72,151160,nonfiction,1766.16,1059.696,0.99,"Amazon Digital Services,  Inc.",1784,244,706.46,1
47,1960,Are You My Mother?,P.D. Eastman,4.16,174204,genre fiction,10596.31,6357.786,5.99,Penguin Group (USA) LLC,1769,245,4238.52,1
48,1950,The Story of Art,E.H. Gombrich,3.83,164708,genre fiction,15058.27,9034.962,8.59,Hachette Book Group,1753,246,6023.31,1
49,2013,Scarlet,Marissa Meyer,4.3,193766,genre fiction,1720.62,1032.372,0.99,"Amazon Digital Services,  Inc.",1738,247,688.25,1
50,1997,"Rich Dad , Poor Dad",Robert T. Kiyosaki,3.95,153764,genre fiction,1705.77,1023.462,0.99,Random House LLC,1723,248,682.31,1
51,2011,Silence ,Becca Fitzpatrick,4.16,190722,genre fiction,8517.93,0.0,4.99,"Amazon Digital Services,  Inc.",1707,249,8517.93,1
52,2009,The Magicians,Lev Grossman,3.47,147908,genre fiction,1675.08,1005.048,0.99,Macmillan,1692,250,670.03,1
53,2004,ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ),"Tsugumi Ohba, Takeshi Obata",4.42,139501,genre fiction,6687.24,0.0,3.99,"Amazon Digital Services,  Inc.",1676,251,6687.24,1
54,2003,A Great and Terrible Beauty,Libba Bray,3.79,173613,genre fiction,4966.39,2979.834,2.99,Penguin Group (USA) LLC,1661,252,1986.56,1
55,2002,Everything Is Illuminated,Jonathan Safran Foer,3.9,131492,genre fiction,1629.54,977.724,0.99,"Amazon Digital Services,  Inc.",1646,253,651.82,1
56,1986,The Bourne Supremacy,Robert Ludlum,4.09,142168,genre fiction,17783.3,10669.98,10.91,Penguin Group (USA) LLC,1630,254,7113.32,1
57,2012,Easy,Tammara Webber,4.11,133937,genre fiction,1613.7,0.0,0.99,"Amazon Digital Services,  Inc.",1630,254,1613.7,1
58,1849,David Copperfield,"Charles Dickens, Jeremy Tambling",3.96,150512,genre fiction,18394.85,11036.91,11.39,Hachette Book Group,1615,255,7357.94,1
59,2007,The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",4.11,160607,genre fiction,10384.0,6230.4,6.49,Random House LLC,1600,256,4153.6,1
60,1967,ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",4.32,131389,genre fiction,6320.16,0.0,3.99,"Amazon Digital Services,  Inc.",1584,257,6320.16,1
61,1968,A Wizard of Earthsea,Ursula K. Le Guin,3.99,155042,genre fiction,4707.0,0.0,3.0,"Amazon Digital Services,  Inc.",1569,258,4707.0,1
62,2000,Because of Winn-Dixie,"Kate DiCamillo, Chris Sheban",4.0,154476,genre fiction,1522.62,0.0,0.99,"Amazon Digital Services,  Inc.",1538,259,1522.62,1
63,1959,A Separate Peace,John Knowles,3.56,155901,genre fiction,5924.47,0.0,3.89,"Amazon Digital Services,  Inc.",1523,260,5924.47,1
64,1995,The Rainmaker,John Grisham,3.91,137412,genre fiction,12040.93,0.0,7.99,"Amazon Digital Services,  Inc.",1507,261,12040.93,1
65,1605,Don Quijote de La Mancha,"Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford",3.85,134931,genre fiction,13413.08,8047.848,8.99,Hachette Book Group,1492,262,5365.23,1
66,1995,Assassin's Apprentice,Robin Hobb,4.14,132777,genre fiction,2907.39,0.0,1.99,"Amazon Digital Services,  Inc.",1461,263,2907.39,1
67,1980,The Restaurant at the End of the Universe,Douglas Adams,4.22,153838,genre fiction,11553.54,6932.124,7.99,Penguin Group (USA) LLC,1446,264,4621.42,1
68,2010,Torment,Lauren Kate,3.89,174393,genre fiction,5705.7,0.0,3.99,"Amazon Digital Services,  Inc.",1430,265,5705.7,1
69,1901,The Tale of Peter Rabbit,Beatrix Potter,4.17,162373,genre fiction,9890.85,5934.51,6.99,Penguin Group (USA) LLC,1415,266,3956.34,1
70,1953,The Silver Chair,"C.S. Lewis, Pauline Baynes",3.95,170453,genre fiction,5245.36,3147.216,3.79,Hachette Book Group,1384,267,2098.14,1
71,2008,The Hero of Ages,Brandon Sanderson,4.46,143622,nonfiction,5826.64,3495.984,4.21,"Amazon Digital Services,  Inc.",1384,267,2330.66,1
72,1993,"Girl, Interrupted",Susanna Kaysen,3.9,145161,genre fiction,2724.31,1634.586,1.99,Hachette Book Group,1369,268,1089.72,1
73,2007,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,3.85,127096,genre fiction,5462.31,3277.386,3.99,Hachette Book Group,1369,268,2184.92,1
74,1970,Jonathan Livingston Seagull,"Richard Bach, Russell Munson",3.8,133728,genre fiction,6751.47,0.0,4.99,"Amazon Digital Services,  Inc.",1353,269,6751.47,1
75,2014,City of Heavenly Fire,Cassandra Clare,4.48,177796,genre fiction,6676.62,0.0,4.99,"Amazon Digital Services,  Inc.",1338,270,6676.62,1
76,1986,Love You Forever,"Robert Munsch, Sheila McGraw",4.34,159703,genre fiction,1309.77,785.862,0.99,"Amazon Digital Services,  Inc.",1323,271,523.91,1
77,2006,Cell,Stephen King,3.64,144591,genre fiction,5933.78,3560.268,4.54,HarperCollins Publishers,1307,272,2373.51,1
78,2013,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.32,113565,genre fiction,8482.43,5089.458,6.49,Hachette Book Group,1307,272,3392.97,1
79,1977,The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",3.87,134106,genre fiction,6447.08,3868.248,4.99,Random House LLC,1292,273,2578.83,1
80,1987,The Drawing of the Three,Stephen King,4.23,139052,nonfiction,2539.24,1523.544,1.99,HarperCollins Publishers,1276,274,1015.7,1
81,2008,The Forgotten Garden,Kate Morton,4.12,138377,genre fiction,4907.7,0.0,3.99,"Amazon Digital Services,  Inc.",1230,275,4907.7,1
82,1925,Der ProzeÃŸ,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",3.98,131856,genre fiction,1202.85,0.0,0.99,"Amazon Digital Services,  Inc.",1215,276,1202.85,1
83,2002,This Lullaby,Sarah Dessen,4.03,151829,genre fiction,2417.85,1450.71,1.99,HarperCollins Publishers,1215,276,967.14,1
84,2000,Plain Truth,Jodi Picoult,3.97,128406,genre fiction,1188.0,0.0,0.99,"Amazon Digital Services,  Inc.",1200,277,1188.0,1
85,2010,Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,3.7,127186,fiction,2388.0,0.0,1.99,"Amazon Digital Services,  Inc.",1200,277,2388.0,1
86,1902,The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",4.09,154517,genre fiction,2356.16,1413.696,1.99,Macmillan,1184,278,942.46,1
87,2011,"Thinking, Fast and Slow",Daniel Kahneman,4.08,136950,genre fiction,1157.31,694.386,0.99,"Amazon Digital Services,  Inc.",1169,279,462.92,1
88,1982,The Mists of Avalon,Marion Zimmer Bradley,4.12,157736,genre fiction,1157.31,694.386,0.99,"Amazon Digital Services,  Inc.",1169,279,462.92,1
89,1970,"Are You There God? It's Me, Margaret",Judy Blume,3.89,151789,genre fiction,1111.77,0.0,0.99,"Amazon Digital Services,  Inc.",1123,280,1111.77,1
90,2002,Nights in Rodanthe,Nicholas Sparks,3.82,129807,genre fiction,5603.77,3362.262,4.99,"Amazon Digital Services,  Inc.",1123,280,2241.51,1
91,2014,Mr. Mercedes,Stephen King,3.92,125847,genre fiction,2202.93,1321.758,1.99,Macmillan,1107,281,881.17,1
92,2007,All Together Dead,Charlaine Harris,4.05,162689,genre fiction,6983.24,4189.944,6.49,Random House LLC,1076,282,2793.3,1
93,1997,Midwives,Chris Bohjalian,3.97,133155,genre fiction,6885.89,4131.534,6.49,Random House LLC,1061,283,2754.36,1
94,1985,The Polar Express,Chris Van Allsburg,4.29,168001,nonfiction,1035.54,621.324,0.99,"Amazon Digital Services,  Inc.",1046,284,414.22,1
95,1989,The True Story of the Three Little Pigs,"Jon Scieszka, Lane Smith",4.29,141945,genre fiction,1019.7,0.0,0.99,"Amazon Digital Services,  Inc.",1030,285,1019.7,1
96,1987,Patriot Games,Tom Clancy,4.11,141674,genre fiction,6079.85,0.0,5.99,"Amazon Digital Services,  Inc.",1015,286,6079.85,1
97,1998,Veronika decide morrer,"Paulo Coelho, Margaret Jull Costa",3.69,111856,genre fiction,6932.45,4159.47,6.83,Penguin Group (USA) LLC,1015,286,2772.98,1
98,2013,"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg, Nell Scovell",3.94,135635,genre fiction,985.05,0.0,0.99,"Amazon Digital Services,  Inc.",995,287,985.05,1
